measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,2,Female,22,All ages,429,Breast cancer,1,Number,1982,287848.1575851994,303654.5743879844,272135.2198802422
1,Deaths,1,Global,3,Both,22,All ages,429,Breast cancer,1,Number,1982,291889.0054380519,307815.5794009274,276333.1979300183
1,Deaths,1,Global,2,Female,22,All ages,432,Cervical cancer,1,Number,1982,200290.95358917804,222749.71446407496,183332.7053049282
1,Deaths,1,Global,3,Both,22,All ages,432,Cervical cancer,1,Number,1982,200290.95358917804,222749.71446407496,183332.7053049282
1,Deaths,1,Global,2,Female,22,All ages,435,Uterine cancer,1,Number,1982,49809.82920551043,54165.88643552095,44377.89091233347
1,Deaths,1,Global,3,Both,22,All ages,435,Uterine cancer,1,Number,1982,49809.82920551043,54165.88643552095,44377.89091233347
1,Deaths,1,Global,1,Male,22,All ages,438,Prostate cancer,1,Number,1982,158734.6065626786,168687.25222138912,144510.85093316133
1,Deaths,1,Global,3,Both,22,All ages,438,Prostate cancer,1,Number,1982,158734.6065626786,168687.25222138912,144510.85093316133
1,Deaths,1,Global,1,Male,22,All ages,441,Colon and rectum cancer,1,Number,1982,234604.2675859674,257782.55351400704,213730.3813123252
1,Deaths,1,Global,2,Female,22,All ages,441,Colon and rectum cancer,1,Number,1982,241578.10092340235,262026.88456496966,216341.48422951598
1,Deaths,1,Global,3,Both,22,All ages,441,Colon and rectum cancer,1,Number,1982,476182.36850937014,510674.4546442177,439172.53465859353
1,Deaths,1,Global,1,Male,22,All ages,444,Lip and oral cavity cancer,1,Number,1982,53912.587581374464,59072.099101592656,49366.38899436452
1,Deaths,1,Global,2,Female,22,All ages,444,Lip and oral cavity cancer,1,Number,1982,24564.827479038966,26783.3500830796,22517.316526183862
1,Deaths,1,Global,3,Both,22,All ages,444,Lip and oral cavity cancer,1,Number,1982,78477.41506041336,84004.71218860736,73524.71347969538
1,Deaths,1,Global,1,Male,22,All ages,447,Nasopharynx cancer,1,Number,1982,35538.460287373,41370.62823919092,29477.413055510013
1,Deaths,1,Global,2,Female,22,All ages,447,Nasopharynx cancer,1,Number,1982,18948.316671334815,22310.10836360059,15635.122226084326
1,Deaths,1,Global,3,Both,22,All ages,447,Nasopharynx cancer,1,Number,1982,54486.77695870778,60913.62859220909,46721.399768465664
1,Deaths,1,Global,1,Male,22,All ages,450,Other pharynx cancer,1,Number,1982,27863.176971110093,31697.52602547414,25064.459967662293
1,Deaths,1,Global,2,Female,22,All ages,450,Other pharynx cancer,1,Number,1982,6984.293729236303,8364.819976468558,5791.108366114313
1,Deaths,1,Global,3,Both,22,All ages,450,Other pharynx cancer,1,Number,1982,34847.47070034642,38704.48295383324,31669.513562520908
1,Deaths,1,Global,1,Male,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1982,29219.278081394703,33644.74554932706,24298.630062696222
1,Deaths,1,Global,2,Female,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1982,53235.37128157622,60757.68393986197,47131.967417549335
1,Deaths,1,Global,3,Both,22,All ages,453,Gallbladder and biliary tract cancer,1,Number,1982,82454.6493629709,90651.56135823496,73143.91139099638
1,Deaths,1,Global,1,Male,22,All ages,456,Pancreatic cancer,1,Number,1982,89512.78685494159,96725.86876468563,83286.6977839914
1,Deaths,1,Global,2,Female,22,All ages,456,Pancreatic cancer,1,Number,1982,80628.73900951908,87890.3653868583,75140.16481098047
1,Deaths,1,Global,3,Both,22,All ages,456,Pancreatic cancer,1,Number,1982,170141.52586446074,183384.14913572482,159668.74374845542
1,Deaths,1,Global,1,Male,22,All ages,459,Malignant skin melanoma,1,Number,1982,13587.446256069601,14582.431327818806,12277.171805288766
1,Deaths,1,Global,2,Female,22,All ages,459,Malignant skin melanoma,1,Number,1982,12209.67305909134,13522.369126125668,11026.404639401282
1,Deaths,1,Global,3,Both,22,All ages,459,Malignant skin melanoma,1,Number,1982,25797.11931516095,27337.89217115266,23684.72366566897
1,Deaths,1,Global,1,Male,22,All ages,462,Non-melanoma skin cancer,1,Number,1982,10035.613879236204,11343.095203772347,8705.31541670172
1,Deaths,1,Global,2,Female,22,All ages,462,Non-melanoma skin cancer,1,Number,1982,8385.330309621117,9569.341647654697,7485.313571280949
1,Deaths,1,Global,3,Both,22,All ages,462,Non-melanoma skin cancer,1,Number,1982,18420.944188857342,20257.20532984201,16648.75457296029
1,Deaths,1,Global,2,Female,22,All ages,465,Ovarian cancer,1,Number,1982,82973.32515660414,91194.81777005638,76961.43039869673
1,Deaths,1,Global,3,Both,22,All ages,465,Ovarian cancer,1,Number,1982,82973.32515660414,91194.81777005638,76961.43039869673
1,Deaths,1,Global,1,Male,22,All ages,468,Testicular cancer,1,Number,1982,7075.680799263459,7586.61492437498,6604.257703067015
1,Deaths,1,Global,3,Both,22,All ages,468,Testicular cancer,1,Number,1982,7075.680799263459,7586.61492437498,6604.257703067015
1,Deaths,1,Global,1,Male,22,All ages,471,Kidney cancer,1,Number,1982,37428.34470460466,39389.90404752698,35829.44704993198
1,Deaths,1,Global,2,Female,22,All ages,471,Kidney cancer,1,Number,1982,23949.167647544306,25608.5125574121,22310.393064539563
1,Deaths,1,Global,3,Both,22,All ages,471,Kidney cancer,1,Number,1982,61377.512352148966,63707.14690679942,58799.78684332635
1,Deaths,1,Global,1,Male,22,All ages,474,Bladder cancer,1,Number,1982,74290.57574570841,80667.72787144844,65913.34351758113
1,Deaths,1,Global,2,Female,22,All ages,474,Bladder cancer,1,Number,1982,28215.315869595113,30382.186457331685,25317.842008709922
1,Deaths,1,Global,3,Both,22,All ages,474,Bladder cancer,1,Number,1982,102505.89161530348,109245.5962475582,94330.07904395006
1,Deaths,1,Global,1,Male,22,All ages,477,Brain and central nervous system cancer,1,Number,1982,61298.596007443826,77418.92429080467,46399.834193713075
1,Deaths,1,Global,2,Female,22,All ages,477,Brain and central nervous system cancer,1,Number,1982,49720.476971933116,64425.83281061731,41752.57545366434
1,Deaths,1,Global,3,Both,22,All ages,477,Brain and central nervous system cancer,1,Number,1982,111019.0729793769,129732.47913469194,92498.82034020797
1,Deaths,1,Global,1,Male,22,All ages,480,Thyroid cancer,1,Number,1982,6019.328359371791,6720.272938684238,5610.897971010271
1,Deaths,1,Global,2,Female,22,All ages,480,Thyroid cancer,1,Number,1982,12535.01155074388,14507.421751979711,11276.608794257594
1,Deaths,1,Global,3,Both,22,All ages,480,Thyroid cancer,1,Number,1982,18554.339910115687,20547.532210072353,17225.147261318263
1,Deaths,1,Global,1,Male,22,All ages,483,Mesothelioma,1,Number,1982,9449.420579448744,10954.451442348289,8278.213842376806
1,Deaths,1,Global,2,Female,22,All ages,483,Mesothelioma,1,Number,1982,3542.3167997963205,4276.335258553237,3211.51884041226
1,Deaths,1,Global,3,Both,22,All ages,483,Mesothelioma,1,Number,1982,12991.737379245058,14572.658018936841,11555.507302645758
